trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",25,0,-105.34394279445003,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-32.83600388152694,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",20,4,-38.422465071168666,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,14,-3.4107374252481106,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,0,-43.37365013873217,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-41.55223920641423,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",35,24,16.8131557621713,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,13,-52.29834590994184,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",20,0,-83.42479292834479,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",30,7,-71.25927540204076,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",25,0,-64.8541683675815,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,3,0.1629346974896515,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",20,0,-63.8675190458076,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,-109.50408957103903,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",20,0,21.98579022169429,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,17,15.581273689195143,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",30,0,-87.09944238737182,"{0: 26, 1: 0, 2: 0, 3: 2, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,9,-31.473350684449375,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",25,0,-123.58731689146265,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,13,-88.38966088417322,"{0: 6, 1: 0, 2: 4, 3: 1, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",20,0,-8.148796294360865,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,0,-49.19516027833646,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",35,17,-1.0754509300751876,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,7,3.859438208624454,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",25,0,-84.03716559265219,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,5,-31.281615785088878,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",30,19,11.956133651641695,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,9,4.561986195952622,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",20,0,-19.85928381562308,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",25,0,-45.52509625594873,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",20,16,7.947174887775303,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",30,13,-8.704618194537915,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",20,13,-18.88253307782617,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,0,2.1744090569361196,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",25,11,-76.95663297516573,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,7,-18.805368385688325,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",25,16,-69.10850970331758,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",35,13,-24.564351972455384,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",20,10,18.853300712672052,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",30,21,-4.116879541049567,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,2,-81.51396022640931,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,14,2.867068873918078,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",20,4,-6.880231990989602,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,10,-5.7027876838470455,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",20,15,10.696792318078925,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",25,13,13.381545601569027,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",20,15,10.101973411131512,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,0,-55.70905372259228,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",25,0,-116.09926224433875,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",20,12,13.497475892003372,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",35,4,-65.50619824587595,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",25,3,7.10740968132463,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",20,6,-61.88684723529097,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,0,-17.635116273708107,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",20,5,7.594937523427289,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,0,12.129343269727931,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",20,6,19.24582551209441,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",20,14,-1.8317240472262717,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",20,5,10.062807987393395,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",30,24,13.636454419632209,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",30,0,21.032543610261122,"{0: 26, 1: 4, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",30,16,-13.062837581119222,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",35,23,-6.7482968828990915,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",25,11,10.323663005227019,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
